id,deck,question,answer,tags,created_at
54,"默认牌组","葛根","解肌退热、生津止渴、透疹、升阳止泻、通经活络、解酒毒","","2026-02-27T07:48:39.468Z"
55,"默认牌组","清热泻火药","石膏、知母、芦根、天花粉、栀子、夏枯草、决明子","","2026-02-27T07:48:39.468Z"
56,"默认牌组","石膏","清热泻火、除烦止渴、收湿生肌、敛疮止血","","2026-02-27T07:48:39.468Z"
57,"默认牌组","知母","清热泻火、滋阴润燥","","2026-02-27T07:48:39.468Z"
58,"默认牌组","芦根","清热泻火、生津止渴、除烦止呕、利尿","","2026-02-27T07:48:39.468Z"
59,"默认牌组","天花粉","清热泻火、生津止渴、消肿排脓","","2026-02-27T07:48:39.468Z"
60,"默认牌组","栀子","泻火除烦、清热利湿、凉血解毒、外用消肿止痛","","2026-02-27T07:48:39.468Z"
61,"默认牌组","夏枯草","清肝泻火、明目、散结消肿","","2026-02-27T07:48:39.468Z"
62,"默认牌组","决明子","清肝明目、润肠通便","","2026-02-27T07:48:39.468Z"
63,"默认牌组","清热燥湿药","黄芩、黄连、黄柏、龙胆、白鲜皮","","2026-02-27T07:48:39.468Z"
64,"默认牌组","黄芩","清热燥湿、泻火解毒、止血安胎","","2026-02-27T07:48:39.468Z"
65,"默认牌组","黄连","清热燥湿、泻火解毒","","2026-02-27T07:48:39.468Z"
66,"默认牌组","黄柏","清热燥湿、泻火解毒、除骨蒸","","2026-02-27T07:48:39.468Z"
67,"默认牌组","龙胆","清热燥湿、泻肝胆火","","2026-02-27T07:48:39.468Z"
68,"默认牌组","白鲜皮","清热燥湿、祛风解毒","","2026-02-27T07:48:39.468Z"
69,"默认牌组","清热解毒药","金银花、连翘、大青叶、板蓝根、青黛、贯众、蒲公英、紫花地丁、重楼、土茯苓、鱼腥草、大血藤、败酱草、射干、白头翁、马齿苋、鸦胆子","","2026-02-27T07:48:39.468Z"
70,"默认牌组","金银花","清热解毒、疏散风热","","2026-02-27T07:48:39.468Z"
71,"默认牌组","连翘","清热解毒、消肿散结、疏散风热","","2026-02-27T07:48:39.468Z"
72,"默认牌组","大青叶","清热解毒、凉血消斑","","2026-02-27T07:48:39.468Z"
73,"默认牌组","板蓝根","清热解毒、凉血利咽","","2026-02-27T07:48:39.468Z"
74,"默认牌组","青黛","清热解毒、凉血消斑、泻火定惊","","2026-02-27T07:48:39.468Z"
75,"默认牌组","贯众","清热解毒、止血杀虫","","2026-02-27T07:48:39.468Z"
76,"默认牌组","蒲公英","清热解毒、消肿散结、利湿通淋","","2026-02-27T07:48:39.468Z"
77,"默认牌组","紫花地丁","清热解毒、凉血消肿","","2026-02-27T07:48:39.468Z"
78,"默认牌组","重楼","清热解毒、消肿止痛、凉肝定惊","","2026-02-27T07:48:39.468Z"
79,"默认牌组","土茯苓","解毒除湿、通利关节","","2026-02-27T07:48:39.468Z"
80,"默认牌组","鱼腥草","清热解毒、消痈排脓、利尿通淋","","2026-02-27T07:48:39.468Z"
81,"默认牌组","大血藤","清热解毒、凉血、祛风止痛","","2026-02-27T07:48:39.468Z"
82,"默认牌组","败酱草","清热解毒、消痈排脓、祛瘀止痛","","2026-02-27T07:48:39.468Z"
83,"默认牌组","射干","清热解毒、消痰利咽","","2026-02-27T07:48:39.468Z"
84,"默认牌组","白头翁","清热解毒、凉血止痢","","2026-02-27T07:48:39.468Z"
85,"默认牌组","马齿苋","清热解毒、凉血止血、止痢","","2026-02-27T07:48:39.468Z"
86,"默认牌组","鸦胆子","清热解毒、截疟止痢、外用腐蚀赘疣","","2026-02-27T07:48:39.468Z"
87,"默认牌组","清热凉血药","生地黄、玄参、牡丹皮、赤芍","","2026-02-27T07:48:39.468Z"
88,"默认牌组","生地黄","清热凉血、养阴生津","","2026-02-27T07:48:39.468Z"
89,"默认牌组","玄参","清热凉血、滋阴降火、解毒散结","","2026-02-27T07:48:39.468Z"
90,"默认牌组","牡丹皮","清热凉血、活血化瘀","","2026-02-27T07:48:39.468Z"
91,"默认牌组","赤芍","清热凉血、散瘀止痛","","2026-02-27T07:48:39.468Z"
92,"默认牌组","清虚热药","青蒿、地骨皮、银柴胡、胡黄连","","2026-02-27T07:48:39.468Z"
93,"默认牌组","青蒿","清虚热、除骨蒸、解暑热、截疟退黄","","2026-02-27T07:48:39.468Z"
94,"默认牌组","地骨皮","凉血除蒸、清肺降火","","2026-02-27T07:48:39.468Z"
95,"默认牌组","银柴胡","清虚热、除疳热","","2026-02-27T07:48:39.468Z"
96,"默认牌组","胡黄连","退虚热、除疳热、清湿热","","2026-02-27T07:48:39.468Z"
97,"默认牌组","攻下药","大黄、芒硝、番泻叶","","2026-02-27T07:48:39.468Z"
98,"默认牌组","大黄","泻下攻积、清热泻火、凉血解毒、逐瘀通经、利湿退黄","","2026-02-27T07:48:39.468Z"
99,"默认牌组","芒硝","泻下通便、润燥软坚、清火消肿","","2026-02-27T07:48:39.468Z"
100,"默认牌组","番泻叶","泻热行滞、通便利水","","2026-02-27T07:48:39.468Z"
101,"默认牌组","润下药","火麻仁、郁李仁","","2026-02-27T07:48:39.468Z"
102,"默认牌组","火麻仁","润肠通便","","2026-02-27T07:48:39.468Z"
103,"默认牌组","郁李仁","润肠通便、下气利水","","2026-02-27T07:48:39.468Z"
104,"默认牌组","峻下逐水药","甘遂、京大戟、芫花、巴豆霜","","2026-02-27T07:48:39.468Z"
105,"默认牌组","甘遂","泻水逐饮、消肿散结","","2026-02-27T07:48:39.468Z"
106,"默认牌组","京大戟","泻水逐饮、消肿散结","","2026-02-27T07:48:39.468Z"
107,"默认牌组","芫花","泻水逐饮、外用杀虫疗疮","","2026-02-27T07:48:39.468Z"
108,"默认牌组","巴豆霜","峻下冷积、逐水退肿、豁痰利咽、外用蚀疮","","2026-02-27T07:48:39.468Z"
109,"默认牌组","祛风寒湿药","独活、威灵仙、川乌、蕲蛇、木瓜、蚕沙、伸筋草","","2026-02-27T07:48:39.468Z"
110,"默认牌组","独活","祛风除湿、通痹止痛、解表","","2026-02-27T07:48:39.468Z"
111,"默认牌组","威灵仙","祛风湿、通经络、止痛、消骨鲠","","2026-02-27T07:48:39.468Z"
112,"默认牌组","川乌","祛风除湿、温经止痛","","2026-02-27T07:48:39.468Z"
113,"默认牌组","蕲蛇","祛风通络、止痉","","2026-02-27T07:48:39.468Z"
114,"默认牌组","木瓜","舒筋活络、和胃化湿","","2026-02-27T07:48:39.468Z"
115,"默认牌组","蚕沙","祛风湿、和胃化湿","","2026-02-27T07:48:39.468Z"
116,"默认牌组","伸筋草","祛风除湿、舒筋活络","","2026-02-27T07:48:39.468Z"
117,"默认牌组","祛风湿热药","秦艽、防己","","2026-02-27T07:48:39.468Z"
118,"默认牌组","秦艽","祛风湿、清湿热、止痹痛、退虚热","","2026-02-27T07:48:39.468Z"
119,"默认牌组","防己","祛风止痛、利水消肿","","2026-02-27T07:48:39.468Z"
120,"默认牌组","祛风湿强筋骨药","五加皮、桑寄生、狗脊","","2026-02-27T07:48:39.468Z"
121,"默认牌组","五加皮","祛风除湿、补益肝肾、强筋壮骨、利水消肿","","2026-02-27T07:48:39.468Z"
122,"默认牌组","桑寄生","祛风湿、补肝肾、强筋骨、安胎元","","2026-02-27T07:48:39.468Z"
123,"默认牌组","狗脊","祛风湿、补肝肾、强腰膝","","2026-02-27T07:48:39.468Z"
124,"默认牌组","化湿药","广藿香、佩兰、苍术、厚朴、砂仁、豆蔻","","2026-02-27T07:48:39.468Z"
125,"默认牌组","广藿香","芳香化湿、和中止呕、发表解暑","","2026-02-27T07:48:39.468Z"
126,"默认牌组","佩兰","芳香化湿、醒脾开胃、发表解暑","","2026-02-27T07:48:39.468Z"
127,"默认牌组","苍术","燥湿健脾、祛风散寒、明目","","2026-02-27T07:48:39.468Z"
128,"默认牌组","厚朴","燥湿消痰、下气除满","","2026-02-27T07:48:39.468Z"
129,"默认牌组","砂仁","化湿开胃、温脾止泻、理气安胎","","2026-02-27T07:48:39.468Z"
130,"默认牌组","豆蔻","化湿行气、温中止呕、开胃消食","","2026-02-27T07:48:39.468Z"
131,"默认牌组","利水消肿药","茯苓、薏苡仁、泽泻、冬瓜皮","","2026-02-27T07:48:39.468Z"
132,"默认牌组","茯苓","利水渗湿、健脾宁心","","2026-02-27T07:48:39.468Z"
133,"默认牌组","薏苡仁","利水渗湿、健脾止泻、除痹排脓、解毒散结","","2026-02-27T07:48:39.468Z"
134,"默认牌组","泽泻","利水渗湿、泻热、化浊降脂","","2026-02-27T07:48:39.468Z"
135,"默认牌组","冬瓜皮","利尿消肿、清热解暑","","2026-02-27T07:48:39.468Z"
136,"默认牌组","利尿通淋药","车前子、滑石、木通、通草、海金沙、石韦、萆薢","","2026-02-27T07:48:39.468Z"
137,"默认牌组","车前子","清热利尿通淋、渗湿止泻、明目祛痰","","2026-02-27T07:48:39.468Z"
138,"默认牌组","滑石","利尿通淋、清热解暑、外用祛湿敛疮","","2026-02-27T07:48:39.468Z"
139,"默认牌组","木通","利尿通淋、清心除烦、通经下乳","","2026-02-27T07:48:39.468Z"
140,"默认牌组","通草","清热利尿、通气下乳","","2026-02-27T07:48:39.468Z"
141,"默认牌组","海金沙","清热利湿、通淋止痛","","2026-02-27T07:48:39.468Z"
142,"默认牌组","石韦","利尿通淋、清肺止咳、凉血止血","","2026-02-27T07:48:39.468Z"
143,"默认牌组","萆薢","利湿去浊、祛风除痹","","2026-02-27T07:48:39.468Z"
144,"默认牌组","利湿退黄药","茵陈、金钱草、虎杖","","2026-02-27T07:48:39.468Z"
145,"默认牌组","茵陈","清热利湿、利胆退黄","","2026-02-27T07:48:39.468Z"
146,"默认牌组","金钱草","利湿退黄、利尿通淋、解毒消肿","","2026-02-27T07:48:39.468Z"
147,"默认牌组","虎杖","利湿退黄、清热解毒、散瘀止痛、止咳化痰","","2026-02-27T07:48:39.468Z"
148,"默认牌组","温里药","附子、干姜、肉桂、吴茱萸、小茴香、丁香、花椒","","2026-02-27T07:48:39.468Z"
149,"默认牌组","附子","回阳救逆、补火助阳、散寒止痛","","2026-02-27T07:48:39.468Z"
150,"默认牌组","干姜","温中散寒、回阳通脉、温肺化饮","","2026-02-27T07:48:39.468Z"
151,"默认牌组","肉桂","补火助阳、散寒止痛、温通经脉、引火归元","","2026-02-27T07:48:39.468Z"
152,"默认牌组","吴茱萸","散寒止痛、降逆止呕、助阳止泻","","2026-02-27T07:48:39.468Z"
153,"默认牌组","小茴香","散寒止痛、理气和胃","","2026-02-27T07:48:39.468Z"
154,"默认牌组","丁香","温中降逆、补肾助阳","","2026-02-27T07:48:39.468Z"
155,"默认牌组","花椒","温中止痛、杀虫止痒","","2026-02-27T07:48:39.468Z"
156,"默认牌组","理气药","陈皮、青皮、枳实、木香、沉香、川楝子、乌药、香附、薤白、柿蒂","","2026-02-27T07:48:39.468Z"
157,"默认牌组","陈皮","理气健脾、燥湿化痰","","2026-02-27T07:48:39.468Z"
158,"默认牌组","青皮","疏肝破气、消积化滞","","2026-02-27T07:48:39.468Z"
159,"默认牌组","枳实","破气消积、化痰散痞","","2026-02-27T07:48:39.468Z"
160,"默认牌组","木香","行气止痛、健脾消食","","2026-02-27T07:48:39.468Z"
161,"默认牌组","沉香","行气止痛、温中止呕、纳气平喘","","2026-02-27T07:48:39.468Z"
162,"默认牌组","川楝子","行气止痛、疏肝泻热、杀虫","","2026-02-27T07:48:39.468Z"
163,"默认牌组","乌药","行气止痛、温肾散寒","","2026-02-27T07:48:39.468Z"
164,"默认牌组","香附","疏肝解郁、理气宽中、调经止痛","","2026-02-27T07:48:39.468Z"
165,"默认牌组","薤白","通阳散结、行气导滞","","2026-02-27T07:48:39.468Z"
166,"默认牌组","柿蒂","降气止呃","","2026-02-27T07:48:39.468Z"
167,"默认牌组","消食药","山楂、麦芽、莱菔子、鸡内金","","2026-02-27T07:48:39.468Z"
168,"默认牌组","山楂","消食健胃、行气散瘀、化浊降脂","","2026-02-27T07:48:39.468Z"
169,"默认牌组","麦芽","行气消食、健脾开胃、回乳消胀","","2026-02-27T07:48:39.468Z"
170,"默认牌组","莱菔子","消食除胀、降气化痰","","2026-02-27T07:48:39.468Z"
171,"默认牌组","鸡内金","健胃消食、涩精止遗、通淋化石","","2026-02-27T07:48:39.468Z"
172,"默认牌组","凉血止血药","大蓟、地榆、槐花、侧柏叶、白茅根、苎麻根","","2026-02-27T07:48:39.468Z"
173,"默认牌组","大蓟","凉血止血、散瘀解毒消痈","","2026-02-27T07:48:39.468Z"
174,"默认牌组","地榆","凉血止血、解毒敛疮","","2026-02-27T07:48:39.468Z"
175,"默认牌组","槐花","凉血止血、清肝泻火","","2026-02-27T07:48:39.468Z"
176,"默认牌组","侧柏叶","凉血止血、化痰止咳、生发乌发","","2026-02-27T07:48:39.468Z"
177,"默认牌组","白茅根","凉血止血、清热利尿","","2026-02-27T07:48:39.468Z"
178,"默认牌组","苎麻根","凉血止血、安胎、清热解毒","","2026-02-27T07:48:39.468Z"
179,"默认牌组","化瘀止血药","三七、茜草、蒲黄","","2026-02-27T07:48:39.468Z"
180,"默认牌组","三七","散瘀止血、消肿定痛","","2026-02-27T07:48:39.468Z"
181,"默认牌组","茜草","凉血去瘀、止血通经","","2026-02-27T07:48:39.468Z"
182,"默认牌组","蒲黄","止血化瘀、通淋","","2026-02-27T07:48:39.468Z"
183,"默认牌组","收敛止血药","白芨、仙鹤草、棕榈炭、血余炭","","2026-02-27T07:48:39.468Z"
184,"默认牌组","白芨","收敛止血、消肿生机","","2026-02-27T07:48:39.468Z"
185,"默认牌组","仙鹤草","收敛止血、截疟止痢、解毒补虚","","2026-02-27T07:48:39.468Z"
186,"默认牌组","棕榈炭","收敛止血","","2026-02-27T07:48:39.468Z"
187,"默认牌组","血余炭","收敛止血、化瘀利尿","","2026-02-27T07:48:39.468Z"
188,"默认牌组","温经止血药","艾叶、炮姜","","2026-02-27T07:48:39.468Z"
189,"默认牌组","艾叶","温经止血、散寒止痛、调经安胎、外用祛湿止痒","","2026-02-27T07:48:39.468Z"
190,"默认牌组","炮姜","温经止血、温中止痛","","2026-02-27T07:48:39.468Z"
191,"默认牌组","活血止痛药","川芎、延胡索、郁金、姜黄、没药、五灵脂","","2026-02-27T07:48:39.468Z"
192,"默认牌组","川芎","活血行气、祛风止痛","","2026-02-27T07:48:39.468Z"
193,"默认牌组","延胡索","活血行气、止痛","","2026-02-27T07:48:39.468Z"
194,"默认牌组","郁金","活血止痛、行气解郁、清心凉血、利胆退黄","","2026-02-27T07:48:39.468Z"
195,"默认牌组","姜黄","破血行气、通络止痛","","2026-02-27T07:48:39.468Z"
196,"默认牌组","没药","散瘀定痛、消肿生机","","2026-02-27T07:48:39.468Z"
197,"默认牌组","五灵脂","活血定痛、化瘀止血","","2026-02-27T07:48:39.468Z"
198,"默认牌组","活血调经药","丹参、红花、桃仁、益母草、牛膝、鸡血藤","","2026-02-27T07:48:39.468Z"
199,"默认牌组","丹参","活血祛瘀、温经止痛、清心除烦、凉血消痈","","2026-02-27T07:48:39.468Z"
200,"默认牌组","红花","活血通经、散瘀止痛","","2026-02-27T07:48:39.468Z"
201,"默认牌组","桃仁","活血祛瘀、润肠通便、止咳平喘","","2026-02-27T07:48:39.468Z"
202,"默认牌组","益母草","活血调经、利尿消肿、清热解毒","","2026-02-27T07:48:39.468Z"
203,"默认牌组","牛膝","逐瘀通经、补肝肾、强筋骨、利尿通淋、引血下行","","2026-02-27T07:48:39.468Z"
204,"默认牌组","鸡血藤","活血补血、调经止痛、疏经活络","","2026-02-27T07:48:39.468Z"
205,"默认牌组","活血疗伤药","土鳖虫、骨碎补","","2026-02-27T07:48:39.468Z"
206,"默认牌组","土鳖虫","破血逐瘀、续筋接骨","","2026-02-27T07:48:39.468Z"
207,"默认牌组","骨碎补","活血疗伤止痛、补肾强骨、外用祛湿消斑","","2026-02-27T07:48:39.468Z"
208,"默认牌组","破血消癥药","莪术、三棱、水蛭、虻虫","","2026-02-27T07:48:39.468Z"
209,"默认牌组","莪术","破血行气、消积止痛","","2026-02-27T07:48:39.468Z"
210,"默认牌组","三棱","破血行气、消积止痛","","2026-02-27T07:48:39.468Z"
211,"默认牌组","水蛭","破血通经、逐瘀消癥","","2026-02-27T07:48:39.468Z"
212,"默认牌组","虻虫","破血逐瘀、消癥散积","","2026-02-27T07:48:39.468Z"
213,"默认牌组","温化寒痰药","半夏、天南星、白附子、芥子、皂荚、旋覆花","","2026-02-27T07:48:39.468Z"
214,"默认牌组","半夏","燥湿化痰、降逆止呕、消痞散结","","2026-02-27T07:48:39.468Z"
215,"默认牌组","天南星","燥湿化痰、祛风止痉、散结消肿","","2026-02-27T07:48:39.468Z"
216,"默认牌组","白附子","祛风痰、定惊慉、止痛、解毒散结","","2026-02-27T07:48:39.468Z"
217,"默认牌组","芥子","温肺豁痰利气、散结通络止痛","","2026-02-27T07:48:39.468Z"
218,"默认牌组","皂荚","祛痰开窍、散结消肿","","2026-02-27T07:48:39.468Z"
219,"默认牌组","旋覆花","降气消痰、行水止呕","","2026-02-27T07:48:39.468Z"
220,"默认牌组","清化热痰药","川贝母、浙贝母、瓜蒌、竹茹、竹沥、天竺黄、前胡、桔梗、海藻、昆布","","2026-02-27T07:48:39.468Z"
221,"默认牌组","川贝母","清热润肺、化痰止咳、散结消痈","","2026-02-27T07:48:39.468Z"
222,"默认牌组","浙贝母","清热化痰止咳、解毒散结消痈","","2026-02-27T07:48:39.468Z"
223,"默认牌组","瓜蒌","清热涤痰、宽胸散结、润燥滑肠","","2026-02-27T07:48:39.468Z"
224,"默认牌组","竹茹","清热化痰、除烦止呕","","2026-02-27T07:48:39.468Z"
225,"默认牌组","竹沥","清热豁痰、定惊利窍","","2026-02-27T07:48:39.468Z"
226,"默认牌组","天竺黄","清热豁痰、清心定惊","","2026-02-27T07:48:39.468Z"
227,"默认牌组","前胡","降气化痰、散风清热","","2026-02-27T07:48:39.468Z"
228,"默认牌组","桔梗","宣肺祛痰、利咽排脓","","2026-02-27T07:48:39.468Z"
229,"默认牌组","海藻","消痰软坚散结、利水消肿","","2026-02-27T07:48:39.468Z"
230,"默认牌组","昆布","消痰软坚散结、利水消肿","","2026-02-27T07:48:39.468Z"
231,"默认牌组","止咳平喘药","苦杏仁、紫苏子、百部、紫菀、款冬花、枇杷叶、桑白皮、葶苈子、白果","","2026-02-27T07:48:39.468Z"
232,"默认牌组","苦杏仁","止咳平喘、润肠通便","","2026-02-27T07:48:39.468Z"
233,"默认牌组","紫苏子","降气化痰、止咳平喘、润肠通便","","2026-02-27T07:48:39.468Z"
234,"默认牌组","百部","润肺下气止咳、杀虫灭虱","","2026-02-27T07:48:39.468Z"
235,"默认牌组","紫菀","润肺下气、化痰止咳","","2026-02-27T07:48:39.468Z"
236,"默认牌组","款冬花","润肺下气、化痰止咳","","2026-02-27T07:48:39.468Z"
237,"默认牌组","枇杷叶","清肺止咳、降逆止呕","","2026-02-27T07:48:39.468Z"
238,"默认牌组","桑白皮","泻肺平喘、利水消肿","","2026-02-27T07:48:39.468Z"
239,"默认牌组","葶苈子","泻肺平喘、行水消肿","","2026-02-27T07:48:39.468Z"
240,"默认牌组","白果","敛肺定喘、止带缩尿","","2026-02-27T07:48:39.468Z"
241,"默认牌组","重镇安神药","磁石、龙骨","","2026-02-27T07:48:39.468Z"
242,"默认牌组","磁石","镇惊安神、平肝潜阳、聪耳明目、纳气平喘","","2026-02-27T07:48:39.468Z"
243,"默认牌组","龙骨","镇惊安神、平肝潜阳、收敛固涩","","2026-02-27T07:48:39.468Z"
244,"默认牌组","养心安神药","酸枣仁、柏子仁、远志","","2026-02-27T07:48:39.468Z"
245,"默认牌组","酸枣仁","养心补肝、宁心安神、敛汗生津","","2026-02-27T07:48:39.468Z"
246,"默认牌组","柏子仁","养心安神、润肠通便、止汗","","2026-02-27T07:48:39.468Z"
247,"默认牌组","远志","安神益智、交通心肾、祛痰消肿","","2026-02-27T07:48:39.468Z"
248,"默认牌组","平抑肝阳药","石决明、珍珠母、牡蛎、代赭石、刺蒺藜","","2026-02-27T07:48:39.468Z"
249,"默认牌组","石决明","平肝潜阳、清肝明目","","2026-02-27T07:48:39.468Z"
250,"默认牌组","珍珠母","平肝潜阳、安神定惊、明目退翳","","2026-02-27T07:48:39.468Z"
251,"默认牌组","牡蛎","潜阳补阴、重镇安神、软坚散结、收敛固涩、制酸止痛","","2026-02-27T07:48:39.468Z"
252,"默认牌组","代赭石","平肝潜阳、重镇降逆、凉血止血","","2026-02-27T07:48:39.468Z"
253,"默认牌组","刺蒺藜","平肝解郁、活血祛风、明目止痒","","2026-02-27T07:48:39.468Z"
254,"默认牌组","息风止痉药","羚羊角、牛黄、钩藤、天麻、地龙、全蝎、蜈蚣","","2026-02-27T07:48:39.468Z"
255,"默认牌组","羚羊角","平肝息风、清肝明目、清热解毒","","2026-02-27T07:48:39.468Z"
256,"默认牌组","牛黄","凉肝息风、清心豁痰、开窍醒神、清热解毒","","2026-02-27T07:48:39.468Z"
257,"默认牌组","钩藤","息风定惊、清热平肝","","2026-02-27T07:48:39.468Z"
258,"默认牌组","天麻","息风止痉、平抑肝阳、祛风通络","","2026-02-27T07:48:39.468Z"
259,"默认牌组","地龙","清热定惊、通络平喘、利尿","","2026-02-27T07:48:39.468Z"
260,"默认牌组","全蝎","息风镇痉、通络止痛、攻毒散结","","2026-02-27T07:48:39.468Z"
261,"默认牌组","蜈蚣","息风镇痉、通络止痛、攻毒散结","","2026-02-27T07:48:39.468Z"
262,"默认牌组","开窍药","麝香、冰片、苏合香、石菖蒲","","2026-02-27T07:48:39.468Z"
263,"默认牌组","麝香","开窍醒神、活血通经、消肿止痛","","2026-02-27T07:48:39.468Z"
264,"默认牌组","冰片","开窍醒神、清热止痛","","2026-02-27T07:48:39.468Z"
265,"默认牌组","苏合香","开窍醒神、辟秽止痛","","2026-02-27T07:48:39.468Z"
266,"默认牌组","石菖蒲","开窍豁痰、醒神益智、化湿和胃","","2026-02-27T07:48:39.468Z"
267,"默认牌组","补气药","人参、西洋参、党参、太子参、黄芪、白术、山药、甘草","","2026-02-27T07:48:39.468Z"
268,"默认牌组","人参","大补元气、复脉固脱、补脾益肺、生津养血、安神益智","","2026-02-27T07:48:39.468Z"
269,"默认牌组","西洋参","补气养阴、清热生津","","2026-02-27T07:48:39.468Z"
270,"默认牌组","党参","健脾益肺、养血生津","","2026-02-27T07:48:39.468Z"
271,"默认牌组","太子参","益气健脾、生津润肺","","2026-02-27T07:48:39.468Z"
272,"默认牌组","黄芪","补气升阳、固表止汗、利水消肿、生津养血、行滞通痹、托毒排脓、敛疮生肌","","2026-02-27T07:48:39.468Z"
273,"默认牌组","白术","健脾益气、燥湿利水、止汗安胎","","2026-02-27T07:48:39.468Z"
274,"默认牌组","山药","补脾养胃、生津益肺、补肾涩精","","2026-02-27T07:48:39.468Z"
275,"默认牌组","甘草","补脾益气、清热解毒、祛痰止咳、缓急止痛、调和诸药","","2026-02-27T07:48:39.468Z"
276,"默认牌组","补阳药","鹿茸、紫河车、淫羊藿、仙茅、杜仲、续断、肉苁蓉、补骨脂、益智仁、菟丝子、沙苑子、蛤蚧、冬虫夏草","","2026-02-27T07:48:39.468Z"
277,"默认牌组","鹿茸","补肾阳、益精血、强筋骨、调冲任、托疮毒","","2026-02-27T07:48:39.468Z"
278,"默认牌组","紫河车","温肾补精、益气养血","","2026-02-27T07:48:39.468Z"
279,"默认牌组","淫羊藿","补肾阳、强筋骨、祛风湿","","2026-02-27T07:48:39.468Z"
280,"默认牌组","仙茅","补肾阳、强筋骨、祛寒湿","","2026-02-27T07:48:39.468Z"
281,"默认牌组","杜仲","补肝肾、强筋骨、安胎","","2026-02-27T07:48:39.468Z"
282,"默认牌组","续断","补肝肾、强筋骨、续折伤、止崩漏","","2026-02-27T07:48:39.468Z"
283,"默认牌组","肉苁蓉","补肾阳、益精血、润肠通便","","2026-02-27T07:48:39.468Z"
284,"默认牌组","补骨脂","温肾助阳、纳气平喘、温脾止泻、外用消风祛斑","","2026-02-27T07:48:39.468Z"
285,"默认牌组","益智仁","温肾固精缩尿、温脾止泻摄唾","","2026-02-27T07:48:39.468Z"
286,"默认牌组","菟丝子","补益肝肾、固精缩尿、安胎明目、止泻、外用消风祛斑","","2026-02-27T07:48:39.468Z"
287,"默认牌组","沙苑子","补肾助阳、固精缩尿、养肝明目","","2026-02-27T07:48:39.468Z"
288,"默认牌组","蛤蚧","补肺益肾、纳气定喘、助阳益精","","2026-02-27T07:48:39.468Z"
289,"默认牌组","冬虫夏草","补肾益肺、止血化痰","","2026-02-27T07:48:39.468Z"
290,"默认牌组","补血药","当归、熟地、白芍、阿胶","","2026-02-27T07:48:39.468Z"
291,"默认牌组","当归","补血活血、调经止痛、润肠通便","","2026-02-27T07:48:39.468Z"
